graph_label,graph_seed,num_nodes,density,source,target,algorithm,run,time_ms,nodes_expanded,path_cost
large,3,1000,0.05,670,391,dijkstra_bidireccional,2,6.906000,769,1.309970
large,3,1000,0.05,670,391,dijkstra_bidireccional,3,7.755709,769,1.309970
large,3,1000,0.05,705,79,dijkstra,1,0.925292,99,0.337076
large,3,1000,0.05,705,79,dijkstra,2,0.859791,99,0.337076
large,3,1000,0.05,705,79,dijkstra,3,0.843833,99,0.337076
large,3,1000,0.05,705,79,astar,1,0.094583,2,0.337076
large,3,1000,0.05,705,79,astar,2,0.075167,2,0.337076
large,3,1000,0.05,705,79,astar,3,0.073750,2,0.337076
large,3,1000,0.05,705,79,dijkstra_bidireccional,1,0.658958,40,0.354198
large,3,1000,0.05,705,79,dijkstra_bidireccional,2,0.642666,40,0.354198
large,3,1000,0.05,705,79,dijkstra_bidireccional,3,0.657250,40,0.354198
large,3,1000,0.05,934,617,dijkstra,1,6.858333,971,0.681208
large,3,1000,0.05,934,617,dijkstra,2,6.913041,971,0.681208
large,3,1000,0.05,934,617,dijkstra,3,6.681208,971,0.681208
large,3,1000,0.05,934,617,astar,1,0.190041,4,0.681208
large,3,1000,0.05,934,617,astar,2,0.156750,4,0.681208
large,3,1000,0.05,934,617,astar,3,0.153542,4,0.681208
large,3,1000,0.05,934,617,dijkstra_bidireccional,1,4.003667,342,0.702182
large,3,1000,0.05,934,617,dijkstra_bidireccional,2,3.540666,342,0.702182
large,3,1000,0.05,934,617,dijkstra_bidireccional,3,3.193542,342,0.702182
large,3,1000,0.05,837,220,dijkstra,1,0.539875,51,0.213397
large,3,1000,0.05,837,220,dijkstra,2,0.523916,51,0.213397
large,3,1000,0.05,837,220,dijkstra,3,0.580542,51,0.213397
large,3,1000,0.05,837,220,astar,1,0.243791,6,0.213397
large,3,1000,0.05,837,220,astar,2,0.213708,6,0.213397
large,3,1000,0.05,837,220,astar,3,0.221084,6,0.213397
large,3,1000,0.05,837,220,dijkstra_bidireccional,1,0.250834,8,0.213397
large,3,1000,0.05,837,220,dijkstra_bidireccional,2,0.220791,8,0.213397
large,3,1000,0.05,837,220,dijkstra_bidireccional,3,0.217584,8,0.213397
large,3,1000,0.05,731,467,dijkstra,1,4.316459,608,0.462888
large,3,1000,0.05,731,467,dijkstra,2,4.657458,608,0.462888
large,3,1000,0.05,731,467,dijkstra,3,4.198083,608,0.462888
large,3,1000,0.05,731,467,astar,1,0.172208,4,0.462888
large,3,1000,0.05,731,467,astar,2,0.144417,4,0.462888
large,3,1000,0.05,731,467,astar,3,0.139834,4,0.462888
large,3,1000,0.05,731,467,dijkstra_bidireccional,1,1.811792,166,0.462888
large,3,1000,0.05,731,467,dijkstra_bidireccional,2,1.755083,166,0.462888
large,3,1000,0.05,731,467,dijkstra_bidireccional,3,1.791208,166,0.462888
large,3,1000,0.05,713,752,dijkstra,1,4.746917,608,0.712555
large,3,1000,0.05,713,752,dijkstra,2,4.495333,608,0.712555
large,3,1000,0.05,713,752,dijkstra,3,4.216542,608,0.712555
large,3,1000,0.05,713,752,astar,1,0.397250,11,0.712555
large,3,1000,0.05,713,752,astar,2,0.380084,11,0.712555
large,3,1000,0.05,713,752,astar,3,0.343709,11,0.712555
large,3,1000,0.05,713,752,dijkstra_bidireccional,1,3.803000,394,0.726370
large,3,1000,0.05,713,752,dijkstra_bidireccional,2,4.625333,394,0.726370
large,3,1000,0.05,713,752,dijkstra_bidireccional,3,3.767291,394,0.726370
large,3,1000,0.05,956,736,dijkstra,1,3.402834,452,0.517763
large,3,1000,0.05,956,736,dijkstra,2,3.266833,452,0.517763
large,3,1000,0.05,956,736,dijkstra,3,3.809458,452,0.517763
large,3,1000,0.05,956,736,astar,1,0.211416,5,0.517763
large,3,1000,0.05,956,736,astar,2,0.168333,5,0.517763
large,3,1000,0.05,956,736,astar,3,0.162167,5,0.517763
large,3,1000,0.05,956,736,dijkstra_bidireccional,1,3.130917,302,0.527544
large,3,1000,0.05,956,736,dijkstra_bidireccional,2,3.240458,302,0.527544
large,3,1000,0.05,956,736,dijkstra_bidireccional,3,3.146375,302,0.527544
large,3,1000,0.05,472,911,dijkstra,1,3.629125,467,0.638799
large,3,1000,0.05,472,911,dijkstra,2,4.233958,467,0.638799
large,3,1000,0.05,472,911,dijkstra,3,3.943083,467,0.638799
large,3,1000,0.05,472,911,astar,1,0.109875,2,0.638799
large,3,1000,0.05,472,911,astar,2,0.077500,2,0.638799
large,3,1000,0.05,472,911,astar,3,0.074750,2,0.638799
large,3,1000,0.05,472,911,dijkstra_bidireccional,1,4.289917,431,0.694977
large,3,1000,0.05,472,911,dijkstra_bidireccional,2,4.185625,431,0.694977
